mukey,muname,comppct_r,compname,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,cec7_r,awc_r,field_id
64105,"Jory silty clay loam, 2 to 7 percent slopes",85,Jory,Well drained,0,38,4.5,5.5,33.5,17.5,49,17.5,0.2,WV_AG_001
64105,"Jory silty clay loam, 2 to 7 percent slopes",85,Jory,Well drained,38,160,1.25,5,52.5,18.2,29.3,17.5,0.16,WV_AG_001
64134,"Nekia silty clay loam, 7 to 12 percent slopes",86,Nekia,Well drained,0,23,5.5,5.6,35,16.9,48.1,20,0.19,WV_AG_001
64134,"Nekia silty clay loam, 7 to 12 percent slopes",86,Nekia,Well drained,23,91,2.5,5,45,26.1,28.9,15,0.13,WV_AG_001
64134,"Nekia silty clay loam, 7 to 12 percent slopes",86,Nekia,Well drained,91,102,,,,,,,,WV_AG_001
64148,"Salkum silty clay loam, basin, 0 to 6 percent slopes",90,Salkum,Well drained,0,51,4,6.1,31,18.1,50.9,22.5,0.19,WV_AG_001
64148,"Salkum silty clay loam, basin, 0 to 6 percent slopes",90,Salkum,Well drained,51,102,1.25,5.3,47.5,5.5,47,25,0.15,WV_AG_001
64148,"Salkum silty clay loam, basin, 0 to 6 percent slopes",90,Salkum,Well drained,102,165,0.25,5.3,39,18,43,20,0.16,WV_AG_001
64148,"Salkum silty clay loam, basin, 0 to 6 percent slopes",3,Waldo,Poorly drained,0,25,6,5.8,33.5,17.5,49,27.5,0.2,WV_AG_001
64148,"Salkum silty clay loam, basin, 0 to 6 percent slopes",3,Waldo,Poorly drained,25,152,2.05,5.6,47.5,23.3,29.2,27.5,0.16,WV_AG_001
62589,Salem gravelly silt loam,85,Salem,Well drained,0,18,4,6.1,17.5,29.1,53.4,15,0.14,WV_AG_002
62589,Salem gravelly silt loam,85,Salem,Well drained,18,66,2,6.7,30,33.5,36.5,17.5,0.13,WV_AG_002
62589,Salem gravelly silt loam,85,Salem,Well drained,66,152,0.55,6.3,7.5,90.7,1.8,5,0.04,WV_AG_002
62659,Coburg silty clay loam,85,Coburg,Moderately well drained,0,46,4,6.1,31,20,49,22.5,0.19,WV_AG_002
62659,Coburg silty clay loam,85,Coburg,Moderately well drained,46,135,1.25,6.7,41,7.9,51.1,22.5,0.19,WV_AG_002
62659,Coburg silty clay loam,85,Coburg,Moderately well drained,135,165,0.25,7,16,64.5,19.5,12.5,0.14,WV_AG_002
62659,Coburg silty clay loam,4,Conser,Poorly drained,0,23,6,6.1,31,20,49,25,0.2,WV_AG_002
62659,Coburg silty clay loam,4,Conser,Poorly drained,23,104,2.25,6.1,47.5,5.5,47,27.5,0.15,WV_AG_002
62659,Coburg silty clay loam,4,Conser,Poorly drained,104,152,0.25,6.7,22.5,63.1,14.4,12.5,0.17,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,0,23,6,6.2,31,10,59,26.4,0.18,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,23,36,3.5,6.2,43,10,47,34.7,0.15,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,36,69,2,6.4,51,10,39,39.6,0.12,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,69,104,0.5,6.4,48,10,42,35.5,0.13,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,104,124,0.25,6.4,25,40,35,19.2,0.15,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",86,Conser,Poorly drained,124,152,0.25,6.8,18,55,27,14.3,0.1,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,0,5,4,5.4,28,12,60,23.2,0.18,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,5,18,3,6.5,28,12,60,23,0.18,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,18,46,1.5,6.3,56,7,37,40.7,0.12,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,46,74,0.75,6.5,54,5,41,38.6,0.13,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,74,122,0.5,6.6,37,15,48,27.5,0.16,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",4,Awbrig,Poorly drained,122,152,0.25,7,33,21,46,24.4,0.14,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,0,20,3.5,5.6,31,20,49,25.2,0.16,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,20,43,3.5,5.8,31,20,49,25.2,0.14,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,43,60,1.25,5.8,55,17,28,39.9,0.11,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,60,84,1.25,5.8,55,17,28,39.9,0.1,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,84,122,0.6,5.8,31,35,34,23.8,0.06,WV_AG_002
62661,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,122,152,0.35,5.8,3,95,2,3.1,0.01,WV_AG_002
62737,Malabon silty clay loam,90,Malabon,Well drained,0,30,5,6.1,31,20,49,25,0.19,WV_AG_002
62737,Malabon silty clay loam,90,Malabon,Well drained,30,107,2.25,6.2,41,7.9,51.1,25,0.19,WV_AG_002
62737,Malabon silty clay loam,90,Malabon,Well drained,107,152,0.25,6.7,27.5,34.7,37.8,15,0.19,WV_AG_002
64283,Coburg silty clay loam,85,Coburg,Moderately well drained,0,43,4,6.1,31,20,49,22.5,0.19,WV_AG_003
64283,Coburg silty clay loam,85,Coburg,Moderately well drained,43,157,1.25,6.7,42,7.8,50.2,22.5,0.19,WV_AG_003
64283,Coburg silty clay loam,3,Awbrig,Poorly drained,0,28,3.5,5.8,28.5,19.3,52.2,25,0.2,WV_AG_003
