var1,var2,correlation
silt_pct,awc,0.751872728158637
sand_pct,silt_pct,-0.7452001862783011
sand_pct,awc,-0.7406058032431597
clay_pct,cec,0.7327149689127475
clay_pct,sand_pct,-0.7107028886230657
sand_pct,cec,-0.5482172187797412
ph,clay_pct,-0.5400516467213271
om_pct,ph,-0.4320968854962883
om_pct,awc,0.42622168594189164
ph,awc,-0.35175140853238906
clay_pct,awc,0.32057442681288856
ph,sand_pct,0.29551104116255245
cec,awc,0.146953638391947
om_pct,clay_pct,0.12194967270323788
om_pct,sand_pct,-0.10792772394926846
ph,cec,-0.1071487455515717
ph,silt_pct,0.08101168443253053
silt_pct,cec,0.07892176880573676
om_pct,cec,-0.06654441020709752
clay_pct,silt_pct,0.06241102270720822
om_pct,silt_pct,0.055972974284106095
om_pct,om_pct,
ph,om_pct,
ph,ph,
clay_pct,om_pct,
clay_pct,ph,
clay_pct,clay_pct,
sand_pct,om_pct,
sand_pct,ph,
sand_pct,clay_pct,
sand_pct,sand_pct,
silt_pct,om_pct,
silt_pct,ph,
silt_pct,clay_pct,
silt_pct,sand_pct,
silt_pct,silt_pct,
cec,om_pct,
cec,ph,
cec,clay_pct,
cec,sand_pct,
cec,silt_pct,
cec,cec,
awc,om_pct,
awc,ph,
awc,clay_pct,
awc,sand_pct,
awc,silt_pct,
awc,cec,
awc,awc,
