,om_pct,ph,clay_pct,sand_pct,silt_pct,cec,awc,temp_avg,precip_annual,solar_rad,humidity,wind_speed,temp_spring,temp_summer,temp_fall,temp_winter,drainage_encoded,crop_encoded
om_pct,1.0,-0.4321,0.1219,-0.1079,0.056,-0.0665,0.4262,-0.3137,0.1324,0.1044,-0.349,-0.0601,-0.2998,0.1823,-0.327,-0.3389,0.3566,-0.0826
ph,-0.4321,1.0,-0.5401,0.2955,0.081,-0.1071,-0.3518,0.3889,-0.4918,-0.1199,0.4188,-0.152,0.3359,-0.4676,0.4567,0.4883,-0.1478,0.0947
clay_pct,0.1219,-0.5401,1.0,-0.7107,0.0624,0.7327,0.3206,-0.0252,0.2379,0.2413,-0.037,0.2633,0.0178,0.2003,-0.08,-0.0865,-0.4076,-0.1104
sand_pct,-0.1079,0.2955,-0.7107,1.0,-0.7452,-0.5482,-0.7406,-0.1793,-0.4282,0.0611,-0.1767,-0.607,-0.2602,-0.3321,-0.0704,-0.0587,0.3592,0.1168
silt_pct,0.056,0.081,0.0624,-0.7452,1.0,0.0789,0.7519,0.257,0.3888,-0.3137,0.2622,0.61,0.3325,0.2889,0.1533,0.1432,-0.1319,-0.0638
cec,-0.0665,-0.1071,0.7327,-0.5482,0.0789,1.0,0.147,0.1377,-0.02,0.2415,0.1594,0.2543,0.1702,-0.1855,0.1103,0.1534,-0.6806,-0.0321
awc,0.4262,-0.3518,0.3206,-0.7406,0.7519,0.147,1.0,-0.0012,0.4569,-0.2294,-0.0238,0.4706,0.0711,0.431,-0.1004,-0.1272,0.0598,-0.1402
temp_avg,-0.3137,0.3889,-0.0252,-0.1793,0.257,0.1377,-0.0012,1.0,-0.392,0.2004,0.9873,0.4594,0.9893,-0.1502,0.9847,0.9711,-0.1364,-0.0028
precip_annual,0.1324,-0.4918,0.2379,-0.4282,0.3888,-0.02,0.4569,-0.392,1.0,-0.481,-0.3557,0.5352,-0.274,0.629,-0.5373,-0.5554,0.0976,0.0967
solar_rad,0.1044,-0.1199,0.2413,0.0611,-0.3137,0.2415,-0.2294,0.2004,-0.481,1.0,0.1727,-0.1439,0.1607,-0.3158,0.2532,0.2729,-0.1216,-0.0851
humidity,-0.349,0.4188,-0.037,-0.1767,0.2622,0.1594,-0.0238,0.9873,-0.3557,0.1727,1.0,0.4967,0.9859,-0.2411,0.9678,0.9746,-0.1509,0.0075
wind_speed,-0.0601,-0.152,0.2633,-0.607,0.61,0.2543,0.4706,0.4594,0.5352,-0.1439,0.4967,1.0,0.5833,0.2365,0.3014,0.3211,-0.1831,0.0598
temp_spring,-0.2998,0.3359,0.0178,-0.2602,0.3325,0.1702,0.0711,0.9893,-0.274,0.1607,0.9859,0.5833,1.0,-0.1118,0.95,0.943,-0.1572,0.0074
temp_summer,0.1823,-0.4676,0.2003,-0.3321,0.2889,-0.1855,0.431,-0.1502,0.629,-0.3158,-0.2411,0.2365,-0.1118,1.0,-0.2422,-0.3731,0.2169,0.0464
temp_fall,-0.327,0.4567,-0.08,-0.0704,0.1533,0.1103,-0.1004,0.9847,-0.5373,0.2532,0.9678,0.3014,0.95,-0.2422,1.0,0.9876,-0.1229,-0.0161
temp_winter,-0.3389,0.4883,-0.0865,-0.0587,0.1432,0.1534,-0.1272,0.9711,-0.5554,0.2729,0.9746,0.3211,0.943,-0.3731,0.9876,1.0,-0.1642,-0.0172
drainage_encoded,0.3566,-0.1478,-0.4076,0.3592,-0.1319,-0.6806,0.0598,-0.1364,0.0976,-0.1216,-0.1509,-0.1831,-0.1572,0.2169,-0.1229,-0.1642,1.0,-0.047
crop_encoded,-0.0826,0.0947,-0.1104,0.1168,-0.0638,-0.0321,-0.1402,-0.0028,0.0967,-0.0851,0.0075,0.0598,0.0074,0.0464,-0.0161,-0.0172,-0.047,1.0
