soil_var,weather_var,correlation,p_value,significant
om_pct,temp_avg,-0.31373940311639953,0.02650633051212128,Yes
om_pct,precip_annual,0.13240328938066817,0.3593539034178364,No
om_pct,solar_rad,0.10444375207781258,0.4704007893318486,No
om_pct,humidity,-0.34902936208749574,0.01298207471404954,Yes
om_pct,wind_speed,-0.06012501708331772,0.6783099435479257,No
om_pct,temp_spring,-0.2998477568634007,0.03438196337170362,Yes
om_pct,temp_summer,0.18230787773423643,0.20509932431219138,No
om_pct,temp_fall,-0.3270301691089772,0.020443546767391692,Yes
om_pct,temp_winter,-0.3389162333132643,0.016057047345895078,Yes
ph,temp_avg,0.3888901177835906,0.005252763672675587,Yes
ph,precip_annual,-0.49177550552719074,0.00028675220490178427,Yes
ph,solar_rad,-0.11988504714763874,0.40695105394227615,No
ph,humidity,0.41875004927122,0.002473669008097437,Yes
ph,wind_speed,-0.1519727752071791,0.29208234455152315,No
ph,temp_spring,0.3359152445921874,0.017080991232488126,Yes
ph,temp_summer,-0.4676164863781093,0.000617031594849526,Yes
ph,temp_fall,0.4566625468904382,0.0008576908808131908,Yes
ph,temp_winter,0.4882938026249654,0.0003213631720218752,Yes
clay_pct,temp_avg,-0.025194368206708735,0.8621227550478938,No
clay_pct,precip_annual,0.23789778619602675,0.09618764102217014,No
clay_pct,solar_rad,0.24134395522585295,0.09132366256137181,No
clay_pct,humidity,-0.037027735924311855,0.798498490653337,No
clay_pct,wind_speed,0.26325345052087334,0.0647281182242886,No
clay_pct,temp_spring,0.0177575275118851,0.902583530522198,No
clay_pct,temp_summer,0.2003257088530007,0.16305374055808874,No
clay_pct,temp_fall,-0.07999558165196637,0.5807884196793324,No
clay_pct,temp_winter,-0.08653190101401177,0.5501606405135859,No
sand_pct,temp_avg,-0.17931480892133642,0.21276237360253067,No
sand_pct,precip_annual,-0.42823896064696454,0.0019190889346787697,Yes
sand_pct,solar_rad,0.061084199230036544,0.6734632691471184,No
sand_pct,humidity,-0.17671080801751388,0.21959030317518255,No
sand_pct,wind_speed,-0.6069816430523245,2.966355880362537e-06,Yes
sand_pct,temp_spring,-0.2602136908179549,0.06799636259972802,No
sand_pct,temp_summer,-0.33205638604085713,0.01847870662249129,Yes
sand_pct,temp_fall,-0.07037290931476846,0.6272306463899161,No
sand_pct,temp_winter,-0.058737225732072136,0.685345174029285,No
silt_pct,temp_avg,0.2570262309402786,0.07156317060420603,No
silt_pct,precip_annual,0.38875892144788576,0.005269394986774203,Yes
silt_pct,solar_rad,-0.3137090671042258,0.026521723520049327,Yes
silt_pct,humidity,0.26221058013576676,0.06583492668802282,No
silt_pct,wind_speed,0.6100403131286815,2.5622992300632746e-06,Yes
silt_pct,temp_spring,0.33247951783384905,0.018320860927868676,Yes
silt_pct,temp_summer,0.2889469580418592,0.04183856075240076,Yes
silt_pct,temp_fall,0.15332416620703818,0.2877614725514235,No
silt_pct,temp_winter,0.14317147385581538,0.3212505696899057,No
cec,temp_avg,0.13774383817156846,0.340125044238915,No
cec,precip_annual,-0.020029456525631043,0.8901920513530983,No
cec,solar_rad,0.24154475643002116,0.09104626449817682,No
cec,humidity,0.15939626863511946,0.26886435107317735,No
cec,wind_speed,0.2543280338966896,0.0746971129957002,No
cec,temp_spring,0.17017776939781012,0.23738634538864817,No
cec,temp_summer,-0.1855061483573801,0.19712791041862335,No
cec,temp_fall,0.11032625893169816,0.44562702873189025,No
cec,temp_winter,0.1534493393246258,0.2873633741860709,No
awc,temp_avg,-0.0011503675943440178,0.9936739717600481,No
awc,precip_annual,0.45692771635167106,0.0008509896852970447,Yes
awc,solar_rad,-0.22941560160513022,0.10901422532375829,No
awc,humidity,-0.02379141057731002,0.8697321087725485,No
awc,wind_speed,0.4706344612879888,0.0005624189359286216,Yes
awc,temp_spring,0.07114403422108562,0.6234524353157426,No
awc,temp_summer,0.4309991139813234,0.0017800409490678617,Yes
awc,temp_fall,-0.1004052671791435,0.48782553608578905,No
awc,temp_winter,-0.12720189655902608,0.37870390519662894,No
