field,var1,var2,r,p_value,significant
WV_AG_002,sat_evi,sat_ndmi,0.9427818059921265,0.0,Yes
WV_AG_008,sat_evi,sat_ndmi,0.9039720296859741,0.0,Yes
WV_AG_041,sat_evi,sat_ndmi,0.9600551128387451,0.0,Yes
WV_AG_048,sat_evi,sat_ndmi,0.9540733098983765,0.0,Yes
WV_AG_002,sat_evi,soil_awc,0.04097369685769081,0.003317819908261299,Yes
WV_AG_008,sat_evi,soil_awc,0.15653936564922333,5.4362145895936465e-09,Yes
WV_AG_041,sat_evi,soil_awc,-0.06959273666143417,0.014046980068087578,Yes
WV_AG_048,sat_evi,soil_awc,0.18727503716945648,1.843969638440357e-12,Yes
WV_AG_002,sat_evi,soil_cec,0.12976709008216858,9.985133049849145e-21,Yes
WV_AG_008,sat_evi,soil_cec,-0.15653938055038452,5.436068040154396e-09,Yes
WV_AG_041,sat_evi,soil_cec,0.06959274411201477,0.014046980068087578,Yes
WV_AG_048,sat_evi,soil_cec,-0.18727505207061768,1.843969638440357e-12,Yes
WV_AG_002,sat_evi,soil_clay_pct,0.09003885835409164,1.0220695817464431e-10,Yes
WV_AG_008,sat_evi,soil_clay_pct,-0.15653938055038452,5.436068040154396e-09,Yes
WV_AG_041,sat_evi,soil_clay_pct,0.06959273666143417,0.014046980068087578,Yes
WV_AG_048,sat_evi,soil_clay_pct,-0.1872750222682953,1.843969638440357e-12,Yes
WV_AG_002,sat_evi,soil_om_pct,0.1403089016675949,5.415996331137232e-24,Yes
WV_AG_008,sat_evi,soil_om_pct,-0.15653938055038452,5.436068040154396e-09,Yes
WV_AG_041,sat_evi,soil_om_pct,0.06959273666143417,0.014046980068087578,Yes
WV_AG_048,sat_evi,soil_om_pct,-0.18727505207061768,1.843969638440357e-12,Yes
WV_AG_002,sat_evi,soil_ph,0.09742771089076996,2.6240797729171206e-12,Yes
WV_AG_008,sat_evi,soil_ph,0.15653938055038452,5.436068040154396e-09,Yes
WV_AG_041,sat_evi,soil_ph,0.06959273666143417,0.014046980068087578,Yes
WV_AG_002,sat_evi,soil_sand_pct,-0.12082675099372864,3.687142277613789e-18,Yes
WV_AG_008,sat_evi,soil_sand_pct,0.15653936564922333,5.4362145895936465e-09,Yes
WV_AG_041,sat_evi,soil_sand_pct,-0.06959272921085358,0.014046980068087578,Yes
WV_AG_048,sat_evi,soil_sand_pct,0.1872750222682953,1.843969638440357e-12,Yes
WV_AG_002,sat_evi,soil_silt_pct,0.08013223111629486,8.922245164910692e-09,Yes
WV_AG_008,sat_evi,soil_silt_pct,0.15653938055038452,5.436068040154396e-09,Yes
